Phrase,Cluster Label
unfortunate,157
youre,88
moronic,85
adequate,165
recognizable,39
basic,139
delightful,163
amanda,55
old,4
western,162
audio,117
irish,57
universal,116
nonstop,170
bright,125
right,59
spanish,0
flamboyant,23
song,41
couple,4
minor,100
conservative,1
solid,46
unfair,5
frozen,76
bettie,135
stellar,9
scifi,28
married,174
theatrical,41
striking,9
police,27
detective,169
stiff,37
richard,178
rural,68
seasoned,34
animal,2
medical,142
heavy,114
physical,142
teen,4
edgy,22
guys,115
ugly,157
boy,4
relevant,165
energetic,14
quite,3
girl,4
alright,176
federal,60
valuable,122
bible,81
hidden,113
mixed,145
technical,87
oriental,162
careful,50
decent,46
preposterous,94
cgi,26
alternate,169
inaccurate,5
legal,60
corny,6
trite,6
australian,57
native,70
evil,7
able,8
unpleasant,82
leslie,55
supernatural,118
wild,2
thoroughly,3
imaginable,157
cal,43
loud,85
consistent,130
tacky,99
flashy,23
graphic,117
superb,9
miscast,6
drunk,10
agree,90
unrelated,60
torn,144
political,91
ned,173
serbian,156
diabolical,29
gable,39
mary,174
lynch,183
common,70
fantastic,138
sudden,11
angela,42
19th,12
automatic,110
retired,126
precise,179
effective,165
broad,84
modest,108
grand,107
intelligent,50
direct,36
troubled,92
amusing,13
21st,12
apt,83
glad,131
tiresome,97
stan,47
kong,38
wondrous,66
light,31
give,8
outside,113
lady,174
content,17
murderous,80
important,182
fifty,15
clive,178
subject,165
experimental,58
popcorn,32
collective,52
playful,14
underused,101
ready,90
grey,31
absurd,94
gothic,12
weary,124
lesbian,98
bogus,146
principal,77
leigh,42
wooden,86
human,2
simon,164
twenty,15
paris,67
profound,16
foolish,141
understood,115
amoral,29
uk,57
enjoyable,13
pornographic,17
competent,20
watch,115
horrendous,157
red,125
anne,174
spare,79
meaningful,61
worth,79
abominable,103
mystical,118
nude,18
complete,19
uma,95
cinema,116
female,166
handsome,163
proud,131
sensible,130
bored,124
joe,47
incompetent,20
thirty,15
keen,90
comedian,51
hideous,157
sister,4
japanese,67
normal,96
brady,129
dated,120
senseless,103
perfect,46
disappointed,131
lurid,158
nose,78
individual,52
presidential,77
upcoming,182
nonexistent,89
black,31
crazed,21
awesome,138
quirky,22
standard,96
pointless,89
shady,137
sick,124
anna,174
similar,96
beautiful,163
plenty,46
lethal,147
giant,114
reckless,10
tommy,129
suspect,60
visceral,16
gratuitous,94
depressed,54
witty,13
deranged,21
atrocious,103
forgettable,168
trendy,23
pathetic,94
understand,115
such,70
julian,164
nightmarish,157
conventional,139
typical,139
interminable,97
patrick,164
stylish,23
neat,139
underground,113
trivial,6
vast,114
charming,163
alternative,36
random,132
youd,24
alone,96
confusing,72
ian,47
worthwhile,61
ample,108
surreal,13
lackluster,25
likely,36
grateful,131
unemployed,155
improbable,94
alan,123
creepy,26
tim,47
unimaginative,168
child,4
natalie,55
military,27
promising,160
hal,129
reese,173
naughty,99
regular,172
forbidden,91
strong,46
nathan,47
sentimental,158
imdb,28
ambiguous,179
fancy,23
mythical,118
leading,107
manipulative,29
respectable,3
permanent,79
sinatra,30
dark,31
george,178
rubbish,44
filthy,64
muscular,33
tame,25
mild,76
unconventional,150
masterful,9
pretentious,6
absent,185
accurate,5
forced,59
offbeat,22
loyal,1
feminist,58
watchable,136
okay,176
maureen,42
delicious,32
extensive,108
frantic,170
respective,70
holy,81
elm,104
eva,55
dubbed,151
cerebral,33
unsuccessful,160
failed,8
halloween,152
imaginative,150
tiny,86
initial,45
silly,141
domestic,92
secondary,77
developed,120
sharp,11
smooth,132
lazy,141
acclaimed,116
fundamental,16
humorous,13
bland,168
talented,34
impossible,8
primitive,139
surprising,35
interesting,35
naked,18
frustrating,97
arrogant,85
homicidal,21
korean,40
extended,45
outright,141
worthy,185
campy,158
educational,87
possible,36
adult,166
ultimate,7
tasty,32
audrey,42
whole,96
robotic,53
african,40
tough,37
unknown,179
