List Id,Phrase,Cluster Label,W0,W1,W2,W3,W4,Good Words,Score,GW0,GW1,GW2,GW3,GW4
23,frontal female nudity,0,NA,frontal female nudity,NA,NA,frontal male nudity,2,1,0,1,0,0,1
26,good tv movie,1,classic movie channel,bad soap opera,average movie watcher,scifi channel movie,fox movie channel,3,0.6,1,1,1,1,1
34,just doesnt work,2,NA,simply doesnt work,really doesnt matter,just doesnt work,NA,-1,-0.333333333,0,1,1,1,0
36,entire police department,3,maximum security prison,secret government computer,entire police department,criminal justice system,local police chief,-1,-0.2,1,1,1,1,1
38,beautiful barbara bouchet,4,NA,NA,beautiful barbara bouchet,NA,NA,-1,-1,0,0,1,0,0
41,political boss frank,5,NA,NA,political boss frank,NA,NA,-1,-1,0,0,1,0,0
53,short blonde hair,6,NA,short blonde hair,NA,NA,NA,-1,-1,0,1,0,0,0
54,late night tv,7,late night television,late night movie,early cbs game,original prom night,prime time soap,1,0.2,1,1,1,1,1
63,ready to go,8,ready to go,afraid to go,ready to fight,sure to send,ready to make,-1,-0.2,1,1,1,1,1
66,beautiful music score,9,mexican hat dance,beautiful music score,NA,NA,excellent music score,-1,-0.333333333,1,1,0,0,1
79,american pie movie,10,american pie franchise,american pie movie,american pop culture,american pie beta,american pie series,-1,-0.2,1,1,1,1,1
84,easy to make,11,easy to do,easy to get,easy to like,easy to follow,easy to take,2,0.4,1,1,1,1,1
91,petra von kant,12,NA,NA,NA,petra von kant,NA,-1,-1,0,0,0,1,0
93,good movie i,13,good date movie,other film i,same film i,real movie i,entire movie i,1,0.2,1,1,1,1,1
102,grinch stole christmas,14,grinch stole christmas,NA,NA,NA,NA,0,0,1,0,0,0,0
104,lee j cobb,15,NA,NA,ll cool j,cathy lee crosby,lee j cobb,0,0,0,0,1,1,1
114,local tv station,16,NA,local tv station,NA,local bus station,local television station,-1,-0.333333333,0,1,0,1,1
130,awful film i,17,horrible movie experience,truly awful movie,entire film i,absolutely awful film,incredible film i,0,0,1,1,1,1,1
143,very little thought,18,be little doubt,very thought provoking,very big fan,little girl i,very little chance,2,0.4,1,1,1,1,1
153,able to find,19,able to escape,able to succeed,unable to see,able to locate,able to capture,0,0,1,1,1,1,1
163,notorious bettie page,20,NA,notorious bettie page,real bettie page,NA,NA,0,0,0,1,1,0,0
170,anyway i havent,21,i havent heard,NA,i havent read,now i havent,anyway i havent,0,0,1,0,1,1,1
180,painful to watch,22,painful to see,unpleasant to watch,horrible to watch,painful to watch,unbearable to watch,0,0,1,1,1,1,1
186,very funny movie,23,very funny man,very funny film,very fun movie,very funny show,funny movie i,4,0.8,1,1,1,1,1
195,good character development,24,excellent character study,good character development,little character development,poor character development,actual character development,5,1,1,1,1,1,1
200,dull dull dull,25,NA,dull dull dull,NA,NA,NA,0,0,0,1,0,0,0
202,sure to see,26,eager to see,anxious to see,likely to see,awesome to see,sure to catch,0,0,1,1,1,1,1
219,able to have,27,able to control,unable to control,early to mid,sure to have,impossible to have,0,0,1,1,1,1,1
221,enrico ratso rizzo,28,NA,NA,enrico ratso rizzo,NA,NA,0,0,0,0,1,0,0
225,fatal car crash,29,fatal car crash,fatal heart attack,NA,tow truck driver,terrible car accident,0,0,1,1,0,1,1
231,brian jonestown massacre,30,NA,NA,NA,brian jonestown massacre,NA,0,0,0,0,0,1,0
249,cary grant myrna,31,cary grant victor,NA,NA,cary grant myrna,NA,0,0,1,0,0,1,0
272,indian burial ground,32,indian burial ground,NA,NA,NA,NA,-1,-1,1,0,0,0,0
277,great science fiction,33,mystery science theater,golden age fiction,great science fiction,british science fiction,good science fiction,0,0,1,1,1,1,1
279,hard to come,34,hard to like,hard to enjoy,hard to think,hard to hear,hard to stomach,0,0,1,1,1,1,1
280,low budget movie,35,big budget film,low budget movie,low budget indie,low budget porno,low budget horror,0,0,1,1,1,1,1
284,lok simon yam,36,NA,lok simon yam,NA,NA,NA,0,0,0,1,0,0,0
290,very good performance,37,very good quality,very nice score,very fine performance,really good overall,very good performance,5,1,1,1,1,1,1
301,wonderful love story,38,romantic love story,sweet love story,beautiful love story,find true love,great love story,0,0,1,1,1,1,1
309,adam sandler movie,39,huge adam sandler,NA,NA,neil simon comedy,adam sandler movie,-1,-0.333333333,1,0,0,1,1
315,very good story,40,very sad story,really good story,very good story,very simple story,not much story,4,0.8,1,1,1,1,1
317,not much blood,41,not much blood,first blood part,rare blood type,true heart bear,noble heart horse,0,0,1,1,1,1,1
320,splatter rampage wrestling,42,NA,splatter rampage wrestling,NA,NA,NA,0,0,0,1,0,0,0
321,first world war,43,american history x,second world war,cold war paranoia,first world war,NA,0,0,1,1,1,1,0
323,original version i,44,original version i,original dirty harry,original series i,english language version,original carlitos way,0,0,1,1,1,1,1
324,tim blake nelson,45,NA,NA,ken paine craig,tim blake nelson,joe don baker,0,0,0,0,1,1,1
326,multiple personality disorder,46,NA,NA,multiple personality disorder,NA,NA,0,0,0,0,1,0,0
327,british film industry,47,british film institute,british film industry,italian exploitation cinema,australian film industry,british horror film,0,0,1,1,1,1,1
329,old vhs tape,48,NA,old vhs tape,NA,NA,old vhs copy,0,0,0,1,0,0,1
