List Id,Phrase,Cluster Label,W0,W1,W2,W3,W4,Good Words,Score,GW0,GW1,GW2,GW3,GW4
16,spanish,0,italian,mexican,english,dutch,la,0,0,1,1,1,1,1
21,conservative,1,influential,liberal,loyal,ultra,conservative,0,0,1,1,1,1,1
37,animal,2,pet,animal,mad,elephant,natural,1,0.2,1,1,1,1,1
48,quite,3,pretty,fit,respectable,truly,quite,0,0,1,1,1,1,1
49,girl,4,nurse,girl,child,blonde,girls,0,0,1,1,1,1,1
63,inaccurate,5,incorrect,accurate,factual,misleading,exaggerated,0,0,1,1,1,1,1
66,trite,6,clichéd,hokey,godawful,unwatchable,miscast,0,0,1,1,1,1,1
69,evil,7,satanic,ultimate,sinister,wicked,evil,0,0,1,1,1,1,1
70,able,8,write,failed,unable,give,impossible,-1,-0.2,1,1,1,1,1
83,superb,9,superb,masterful,sensational,terrific,brilliant,5,1,1,1,1,1,1
85,drunk,10,drunken,NA,drunk,alcoholic,reckless,0,0,1,0,1,1,1
98,sudden,11,severe,abrupt,sudden,bubble,unexpected,2,0.4,1,1,1,1,1
100,19th,12,20th,victorian,gothic,historic,19th,0,0,1,1,1,1,1
111,amusing,13,enjoyable,surreal,unfunny,entertaining,laugh,4,0.8,1,1,1,1,1
132,playful,14,smile,youthful,mischievous,gentle,sarcastic,0,0,1,1,1,1,1
146,twenty,15,ten,twenty,fifteen,forty,hundred,0,0,1,1,1,1,1
148,profound,16,profound,visceral,sincere,sympathy,lasting,3,0.6,1,1,1,1,1
154,pornographic,17,uncut,porn,erotic,explicit,pornographic,0,0,1,1,1,1,1
165,nude,18,NA,underwear,topless,nude,naked,0,0,0,1,1,1,1
166,complete,19,total,definitive,complete,detailed,entire,-1,-0.2,1,1,1,1,1
175,incompetent,20,dysfunctional,corrupt,insane,incapable,incompetent,0,0,1,1,1,1,1
195,crazed,21,lunatic,vengeful,unsuspecting,obsessive,demented,0,0,1,1,1,1,1
197,quirky,22,quirky,wacky,edgy,eccentric,colorful,0,0,1,1,1,1,1
228,stylish,23,glamorous,smart,stylish,futuristic,flamboyant,0,0,1,1,1,1,1
236,youd,24,youll,youd,arent,lowkey,soso,0,0,1,1,1,1,1
243,lackluster,25,tepid,unimpressive,tame,mediocre,weak,0,0,1,1,1,1,1
249,creepy,26,scary,freaky,slimy,gory,cgi,0,0,1,1,1,1,1
254,military,27,revolutionary,general,offensive,civil,police,0,0,1,1,1,1,1
264,imdb,28,imdb,NA,rotten,NA,scifi,0,0,1,0,1,0,1
269,manipulative,29,manipulative,sadistic,cynical,diabolical,selfish,0,0,1,1,1,1,1
272,sinatra,30,frank,sinatra,elvis,NA,NA,0,0,1,1,1,0,0
273,dark,31,gray,twisted,dark,grey,brown,4,0.8,1,1,1,1,1
292,delicious,32,delicious,tasty,fabulous,cheese,fried,0,0,1,1,1,1,1
300,cerebral,33,NA,cerebral,spinal,frontal,muscular,0,0,0,1,1,1,1
318,talented,34,young,gifted,experienced,seasoned,talented,0,0,1,1,1,1,1
322,interesting,35,intriguing,noteworthy,surprising,fascinating,curious,0,0,1,1,1,1,1
333,possible,36,alternative,immediate,possible,eventual,unlikely,1,0.2,1,1,1,1,1
341,tough,37,rough,aggressive,rigid,stiff,hard,3,0.6,1,1,1,1,1
347,hong,38,chinese,kong,hong,vietnam,lee,0,0,1,1,1,1,1
349,distinctive,39,distinct,gable,distinctive,reminiscent,unique,0,0,1,1,1,1,1
380,south,40,korean,south,north,asian,west,0,0,1,1,1,1,1
384,musical,41,musical,psychedelic,vocal,ensemble,song,0,0,1,1,1,1,1
387,ann,42,fay,audrey,angela,sarah,cary,-1,-0.2,1,1,1,1,1
408,san,43,cal,los,sebastian,san,santa,0,0,1,1,1,1,1
416,trash,44,NA,NA,plastic,trash,rubbish,0,0,0,0,1,1,1
418,following,45,brief,previous,due,prior,following,0,0,1,1,1,1,1
427,good,46,clean,free,strong,plenty,nice,1,0.2,1,1,1,1,1
428,chris,47,kevin,rob,brian,ricky,andy,0,0,1,1,1,1,1
438,didnt,48,wont,wouldnt,couldnt,cant,doesnt,0,0,1,1,1,1,1
440,outer,49,protective,inner,outer,NA,NA,0,0,1,1,1,0,0
456,thoughtful,50,thoughtful,nuanced,generous,intelligent,insightful,0,0,1,1,1,1,1
475,comedy,51,comic,indie,flick,comedy,script,5,1,1,1,1,1,1
484,own,52,public,collective,own,self,personal,2,0.4,1,1,1,1,1
492,underwater,53,artificial,underwater,robotic,NA,NA,0,0,1,1,1,0,0
496,frustrated,54,desperate,jealous,frustrated,upset,depressed,1,0.2,1,1,1,1,1
497,lisa,55,lisa,amy,rachel,nicole,wendy,0,0,1,1,1,1,1
499,senior,56,top,executive,expert,chief,junior,1,0.2,1,1,1,1,1
501,british,57,uk,canadian,irish,australian,indian,0,0,1,1,1,1,1
541,contemporary,58,feminist,modern,critic,authentic,classical,0,0,1,1,1,1,1
545,back,59,stop,past,right,broken,middle,1,0.2,1,1,1,1,1
552,criminal,60,criminal,suspect,guilty,innocent,fbi,0,0,1,1,1,1,1
556,useful,61,practical,useful,helpful,capable,meaningful,0,0,1,1,1,1,1
580,mr,62,NA,mrs,dr,mr,ms,0,0,0,1,1,1,1
582,poetic,63,literary,philosophical,narrative,literal,aesthetic,0,0,1,1,1,1,1
585,miserable,64,hopeless,wretched,lousy,lonely,disastrous,0,0,1,1,1,1,1
588,unsympathetic,65,unsympathetic,indifferent,villainous,oblivious,unlikeable,0,0,1,1,1,1,1
592,strange,66,mysterious,weird,strange,odd,peculiar,0,0,1,1,1,1,1
621,french,67,european,le,french,louis,jean,0,0,1,1,1,1,1
622,urban,68,urban,industrial,NA,suburban,rural,0,0,1,1,0,1,1
625,coherent,69,NA,cohesive,coherent,NA,incoherent,0,0,0,1,1,0,1
634,other,70,such,other,native,advanced,local,-1,-0.2,1,1,1,1,1
637,acting,71,acted,acting,NA,supporting,NA,0,0,1,1,0,1,0
640,complicated,72,lengthy,confusing,complex,convoluted,sophisticated,0,0,1,1,1,1,1
647,dead,73,deceased,murdered,funeral,shot,wounded,0,0,1,1,1,1,1
649,favorite,74,favourite,favorite,popular,NA,classic,0,0,1,1,1,0,1
651,optimistic,75,optimistic,upbeat,skeptical,confident,hopeful,0,0,1,1,1,1,1
672,warm,76,dry,wet,mild,hot,warm,0,0,1,1,1,1,1
674,primary,77,secondary,principal,sole,presidential,primary,0,0,1,1,1,1,1
683,skin,78,skin,facial,flesh,fat,nose,0,0,1,1,1,1,1
686,additional,79,additional,permanent,extra,spare,added,0,0,1,1,1,1,1
698,brutal,80,harsh,murderous,tortured,extreme,bloody,5,1,1,1,1,1,1
725,god,81,heaven,immortal,faithful,holy,god,0,0,1,1,1,1,1
729,unsettling,82,disturbing,ominous,uncomfortable,gripping,awkward,5,1,1,1,1,1,1
762,poignant,83,inspirational,vivid,touching,intimate,unforgettable,0,0,1,1,1,1,1
767,narrow,84,narrow,pedestrian,broad,slim,wide,0,0,1,1,1,1,1
784,obnoxious,85,neurotic,loud,annoying,obnoxious,stereotypical,3,0.6,1,1,1,1,1
786,small,86,isolated,large,flat,nearby,tiny,-1,-0.2,1,1,1,1,1
791,academic,87,academy,outstanding,intellectual,educational,scientific,0,0,1,1,1,1,1
792,theyre,88,whos,wellknown,theyre,todays,socalled,0,0,1,1,1,1,1
799,useless,89,worthless,utterly,useless,superfluous,invisible,0,0,1,1,1,1,1
810,willing,90,unwilling,agree,ready,prepared,reluctant,0,0,1,1,1,1,1
823,religious,91,patriotic,religious,ethnic,cultural,catholic,0,0,1,1,1,1,1
828,financial,92,global,domestic,financial,troubled,corporate,0,0,1,1,1,1,1
830,bearable,93,passable,tolerable,unbearable,bearable,forgivable,0,0,1,1,1,1,1
833,ludicrous,94,preposterous,outlandish,gratuitous,illogical,nonsense,5,1,1,1,1,1,1
837,meryl,95,sissy,meryl,denzel,uma,cillian,0,0,1,1,1,1,1
847,same,96,similar,used,only,particular,same,-1,-0.2,1,1,1,1,1
851,tedious,97,tedious,dull,endless,interminable,tiresome,0,0,1,1,1,1,1
855,homosexual,98,lesbian,incestuous,sexual,gay,homosexual,0,0,1,1,1,1,1
861,cute,99,bugs,naughty,skinny,nerdy,cartoonish,0,0,1,1,1,1,1
866,numerous,100,several,occasional,countless,multiple,numerous,0,0,1,1,1,1,1
870,underrated,101,overrated,alltime,underused,overlooked,underrated,0,0,1,1,1,1,1
876,diverse,102,rich,varied,vibrant,diverse,dynamic,0,0,1,1,1,1,1
886,despicable,103,shameful,despicable,unforgivable,senseless,abominable,0,0,1,1,1,1,1
888,tree,104,tall,elm,christmas,hollow,tree,0,0,1,1,1,1,1
906,swedish,105,romanian,swedish,polish,norwegian,danish,0,0,1,1,1,1,1
912,screen,106,user,screen,touch,blank,cast,0,0,1,1,1,1,1
915,second,107,fifth,leading,next,missed,last,-1,-0.2,1,1,1,1,1
916,substantial,108,extensive,token,significant,ample,substantial,0,0,1,1,1,1,1
934,admirable,109,redeeming,commendable,modesty,admirable,impeccable,0,0,1,1,1,1,1
940,mandatory,110,strict,obligatory,recommended,mandatory,automatic,0,0,1,1,1,1,1
943,calm,111,deserted,quiet,calm,relaxed,tense,0,0,1,1,1,1,1
964,concerned,112,interested,involved,sensitive,aware,suspicious,0,0,1,1,1,1,1
967,inside,113,interior,inside,front,loose,near,0,0,1,1,1,1,1
969,huge,114,huge,overwhelming,giant,vast,massive,3,0.6,1,1,1,1,1
977,know,115,understand,thought,stick,real,supposed,1,0.2,1,1,1,1,1
979,films,116,noir,anime,documentary,universal,silent,0,0,1,1,1,1,1
988,video,117,video,graphic,audio,vhs,dvd,0,0,1,1,1,1,1
999,magical,118,magical,mythical,fairy,mystical,supernatural,0,0,1,1,1,1,1
1003,america,119,latin,america,united,americas,usa,0,0,1,1,1,1,1
1005,early,120,late,early,later,dated,developed,0,0,1,1,1,1,1
1025,professional,121,professional,amateur,pro,elite,athletic,0,0,1,1,1,1,1
1028,precious,122,valuable,precious,priceless,wasted,crude,0,0,1,1,1,1,1
1035,steven,123,stephen,steve,cole,alan,eric,0,0,1,1,1,1,1
1036,tired,124,busy,stale,grown,sick,hungry,0,0,1,1,1,1,1
1038,blue,125,golden,purple,red,yellow,green,-1,-0.2,1,1,1,1,1
1074,former,126,longtime,retired,rival,former,fellow,0,0,1,1,1,1,1
