Phrase,Cluster Label
next time someone,187
great date movie,93
not gonna work,65
eager to get,71
able to do,112
only word i,123
hard to explain,34
too much blood,41
i glad i,147
ready to pay,8
i feel sorry,147
almost perfect guy,78
able to connect,19
i thought i,147
good to know,116
great to hear,116
good one i,162
willing to let,138
able to turn,112
surprised to see,26
so i thought,162
willing to pay,138
hard to see,34
frontal female nudity,0
very bad story,40
hard to hate,34
good tv movie,1
just dont watch,128
naked gun series,155
hard to have,34
able to relate,176
good slasher movie,85
porn movie i,13
very good slasher,77
just doesnt work,2
pretty low budget,81
entire police department,3
so ridiculous i,162
beautiful barbara bouchet,4
full length movie,167
able to accomplish,176
political boss frank,5
little to do,65
really didnt feel,169
sure to bring,26
real life story,82
i cant wait,66
really good thing,63
willing to give,138
unusual to see,26
eager to see,26
good b movie,13
compelling to watch,115
short blonde hair,6
late night tv,7
private ryan i,123
unable to kill,19
hard to stand,34
predictable plot line,68
bad soap opera,1
white star line,159
poor camera work,61
very good drama,77
ready to go,8
live action cartoon,174
able to become,112
beautiful music score,9
not great art,93
final half hour,141
really good story,40
ready to start,8
enough to see,26
able to answer,176
old security guard,152
prepared to see,26
big screen movie,1
silly story line,159
difficult to get,87
easy to take,11
american pie movie,10
dog bite dog,114
nice to say,62
mexican hat dance,9
too much melodrama,51
easy to make,11
good casting choice,89
incredibly stupid movie,23
second unit director,188
positive to say,116
new york life,57
just dont try,128
petra von kant,12
much to ask,65
good movie i,13
low budget doesnt,81
very bad acting,160
too distant future,51
really didnt care,169
favorite disney movie,1
high school play,52
difficult to watch,115
saturday night fever,164
grinch stole christmas,14
very original im,72
lee j cobb,15
pretty bad movie,160
manhattan murder mystery,172
hard to predict,34
great to begin,112
too much power,51
be great i,162
terrible to see,26
see chris rock,161
pretty much everything,78
local tv station,16
old tv show,1
entire time i,187
psychological horror film,85
very disappointing film,77
just wish i,123
big stinking man,168
very bad light,160
easy to ignore,11
straight to dvd,118
good action film,77
great story i,93
willing to forgive,138
able to break,112
serial killer david,153
able to show,112
awful film i,17
first thing i,123
short film i,17
very nice movie,175
hard to watch,115
mystery science theater,33
late night movie,7
interesting to note,95
hysterical to watch,115
likely to get,71
louis gossett jr,129
lucky to get,71
pretty much nonexistent,78
very little thought,18
just enough money,134
full length film,167
invisible boy kel,168
able to act,112
nice to have,62
easy to spot,11
able to portray,176
same thing i,123
here i dont,128
able to find,19
hard to describe,34
late dudley moore,130
maximum security prison,3
old to play,34
grand jury prize,54
easy to find,11
very simple plot,125
direct to dvd,118
willing to throw,138
notorious bettie page,20
scary movie i,13
able to control,27
hard to guess,34
only reason im,72
too much talk,51
classic horror movie,85
anyway i havent,21
