List Id,Phrase,Cluster Label,W0,W1,W2,W3,W4,Good Words,Score,GW0,GW1,GW2,GW3,GW4
15,only actor,0,fine actor,veteran actor,single actor,real actor,other actor,0,0,1,1,1,1,1
22,same cast,1,huge cast,same cast,cast members,other cast,regular cast,0,0,1,1,1,1,1
25,huge success,2,huge mistake,huge difference,huge disappointment,commercial success,huge hit,0,0,1,1,1,1,1
27,sam peckinpah,3,sam waterston,NA,NA,sam peckinpah,NA,0,0,1,0,0,1,0
29,several times,4,difficult times,hard times,various times,few times,several times,0,0,1,1,1,1,1
45,utterly devoid,5,utterly devoid,NA,utterly pointless,NA,NA,0,0,1,0,1,0,0
49,second season,6,fourth season,seventh season,next season,first season,last season,0,0,1,1,1,1,1
57,few lines,7,quotable lines,bad lines,few lines,great lines,many lines,0,0,1,1,1,1,1
67,presidential candidate,8,NA,manchurian candidate,presidential palace,presidential candidate,NA,0,0,0,1,1,1,0
69,top performance,9,top form,top performance,top quality,top notch,top ten,0,0,1,1,1,1,1
73,good director,10,great director,executive producer,favorite director,excellent director,talented director,0,0,1,1,1,1,1
76,extra feature,11,commentary track,extra features,special feature,double feature,added bonus,0,0,1,1,1,1,1
97,same actors,12,asian actors,few actors,same actors,many actors,live actors,0,0,1,1,1,1,1
105,tim roth,13,jon voight,tim roth,tiny tim,gregory peck,tim burton,0,0,1,1,1,1,1
111,dont think,14,bad dont,dont let,dont rent,dont try,dont worry,-1,-0.2,1,1,1,1,1
124,blatant ripoff,15,NA,NA,NA,blatant ripoff,NA,1,1,0,0,0,1,0
136,good script,16,good writing,great script,intelligent script,original script,solid script,0,0,1,1,1,1,1
139,animated movie,17,animated batman,animated series,animated movie,animated movies,pokemon movie,0,0,1,1,1,1,1
141,french movie,18,french director,french movie,french actors,french production,french girl,0,0,1,1,1,1,1
172,ulli lommel,19,ulli lommel,NA,NA,NA,NA,0,0,1,0,0,0,0
174,first one,20,first couple,first hand,first date,first moment,first effort,-1,-0.2,1,1,1,1,1
181,few minutes,21,twenty minutes,many minutes,half dozen,few minutes,last minute,0,0,1,1,1,1,1
185,other reviewers,22,many reviewers,other commentators,other review,other reviewer,previous reviewers,0,0,1,1,1,1,1
186,pretty cool,23,cool kids,cool dude,pretty tame,ll cool,cool j,0,0,1,1,1,1,1
188,awful i,24,scary i,rubbish i,horrible i,dumb i,awful truth,-1,-0.2,1,1,1,1,1
192,ray milland,25,invisible ray,ray milland,NA,NA,olen ray,0,0,1,1,0,0,1
203,welcome change,26,welcome addition,NA,refreshing change,welcome change,NA,0,0,1,0,1,1,0
223,norman maclean,27,NA,norman jewison,NA,NA,norman maclean,0,0,0,1,0,0,1
236,old girl,28,old friend,old fashion,old guy,old niece,old woman,0,0,1,1,1,1,1
248,lame excuse,29,lame excuse,pretty lame,NA,pathetic excuse,lame attempt,3,0.75,1,1,0,1,1
253,dorothy stratten,30,dorothy malone,ava gardner,lillian hellman,dorothy lamour,dorothy stratten,0,0,1,1,1,1,1
272,fay grim,31,fay grim,NA,fay wray,grim reaper,NA,0,0,1,0,1,1,0
284,amy adams,32,angie dickinson,amy poehler,bryan adams,amy adams,naomi watts,0,0,1,1,1,1,1
285,old time,33,old series,old ones,old testament,old fast,old book,0,0,1,1,1,1,1
289,complete crap,34,complete mess,pure crap,complete idiots,complete joke,utter crap,0,0,1,1,1,1,1
291,much nothing,35,much darker,much tension,isnt anything,much happens,much thought,0,0,1,1,1,1,1
293,mr beetle,36,NA,dr strangelove,mr blandings,NA,mr beetle,0,0,0,1,1,0,1
295,single thing,37,single aspect,single character,single laugh,single word,single day,0,0,1,1,1,1,1
296,same room,38,much room,same room,little room,sealed room,dark room,0,0,1,1,1,1,1
299,mickey rourke,39,gabby hayes,mickey rooney,mickey mouse,mickey rourke,NA,0,0,1,1,1,1,0
329,albert finney,40,NA,albert pyun,albert brooks,albert einstein,albert finney,0,0,0,1,1,1,1
340,second viewing,41,first viewing,second viewing,essential viewing,third viewing,NA,0,0,1,1,1,1,0
345,same film,42,latter film,superior film,unique film,historical film,new film,5,1,1,1,1,1,1
348,cant think,43,cant recommend,cant figure,cant talk,cant remember,cant understand,0,0,1,1,1,1,1
349,ingrid pitt,44,angelina jolie,brad pitt,ingrid pitt,ingrid bergman,NA,0,0,1,1,1,1,0
363,american way,45,american town,american soldier,american bulldog,american accents,american history,-1,-0.2,1,1,1,1,1
369,guilty pleasures,46,NA,guilty pleasure,NA,NA,guilty pleasures,0,0,0,1,0,0,1
370,new friend,47,new wife,new boyfriend,new friend,new partner,new girlfriend,0,0,1,1,1,1,1
374,entire time,48,entire experience,entire life,entire population,entire audience,entire running,0,0,1,1,1,1,1
397,south park,49,jurassic park,central park,south park,NA,south street,0,0,1,1,1,0,1
400,common sense,50,common theme,common denominator,common ground,common sense,traditional sense,0,0,1,1,1,1,1
404,fatal mistake,51,fatal attraction,fatal mistake,freak accident,fatal flaw,fatal fury,0,0,1,1,1,1,1
410,otto preminger,52,NA,NA,otto preminger,von triers,fritz langs,0,0,0,0,1,1,1
420,nude scene,53,topless scene,nude scenes,NA,nude scene,NA,0,0,1,1,0,1,0
430,susan sarandon,54,susan sarandon,susan hayward,whoopi goldberg,kate beckinsale,chris sarandon,-1,-0.2,1,1,1,1,1
436,prime example,55,prime minister,NA,prime example,prime time,NA,0,0,1,0,1,1,0
448,swedish movie,56,swedish movies,swedish film,swedish actors,danish movie,swedish movie,0,0,1,1,1,1,1
450,laputa castle,57,NA,brokedown palace,NA,NA,laputa castle,0,0,0,1,0,0,1
452,black hair,58,white hair,black hair,long hair,red hair,black leather,0,0,1,1,1,1,1
454,sole reason,59,non existent,sole exception,sole purpose,sole reason,sole survivor,0,0,1,1,1,1,1
473,great movie,60,great song,great muppet,great movies,remarkable movie,great villain,5,1,1,1,1,1,1
478,same time,61,previous work,same period,same place,difficult time,mean time,0,0,1,1,1,1,1
508,desperate attempt,62,failed attempt,desperate housewives,feeble attempts,serious attempt,weak attempt,0,0,1,1,1,1,1
509,british soldiers,63,universal soldiers,british soldiers,american soldiers,fellow soldiers,armed forces,0,0,1,1,1,1,1
514,real reason,64,real sense,real fans,real message,real purpose,real problem,0,0,1,1,1,1,1
528,close friend,65,close attention,close friends,close ups,close encounters,only friend,0,0,1,1,1,1,1
533,renny harlin,66,NA,renny harlin,NA,NA,NA,0,0,0,1,0,0,0
553,new york,67,new yorks,new orleans,new batman,new york,new comer,-1,-0.2,1,1,1,1,1
561,clear cut,68,rough cut,clear cut,NA,clean cut,quick cuts,0,0,1,1,0,1,1
579,fifteen years,69,twenty years,forty years,ten years,fifty years,twelve year,0,0,1,1,1,1,1
581,hard rock,70,red rock,rolling stones,chris rock,n roll,hard rock,0,0,1,1,1,1,1
595,young lady,71,lady death,young lady,lady penelope,fair lady,first lady,0,0,1,1,1,1,1
597,own opinion,72,own opinion,humble opinion,personal opinion,own conclusions,liberal use,0,0,1,1,1,1,1
621,social issues,73,social worker,social commentary,social problems,social realism,personal issues,0,0,1,1,1,1,1
634,female character,74,male characters,female roles,female character,female role,female characters,0,0,1,1,1,1,1
638,scooby doo,75,scooby doo,scrappy doo,NA,goodnight mister,blah blah,0,0,1,1,0,1,1
647,few days,76,few shows,few seasons,several days,few hours,few friends,0,0,1,1,1,1,1
667,dead wife,77,dead girl,dead mother,dead husband,late wife,dead father,0,0,1,1,1,1,1
675,few scenes,78,long scenes,individual scenes,violent scenes,such scenes,fight scenes,0,0,1,1,1,1,1
692,hilarious moments,79,poignant moments,hilarious moments,hilarious performance,comedic moments,funny moments,0,0,1,1,1,1,1
702,brian donlevy,80,brian donlevy,brian dennehy,brian yuzna,brian depalma,brian krause,0,0,1,1,1,1,1
705,first war,81,alien invasion,korean war,great war,ww ii,first war,0,0,1,1,1,1,1
710,beautiful cinematography,82,bad cinematography,great cinematography,beautiful animation,stunning cinematography,good cinematography,0,0,1,1,1,1,1
715,successful career,83,successful career,illustrious career,good career,entire career,long career,0,0,1,1,1,1,1
737,anna christie,84,NA,anna christie,anita strindberg,anna faris,elvira mistress,0,0,0,1,1,1,1
749,other films,85,new films,many films,later films,mainstream films,dead films,0,0,1,1,1,1,1
761,miss anything,86,miss price,miss sunshine,NA,miss anything,miss piggy,0,0,1,1,0,1,1
771,other one,87,other species,other peoples,other person,other examples,other night,0,0,1,1,1,1,1
773,black man,88,black girl,mole men,black man,black mask,black stallion,0,0,1,1,1,1,1
784,classic movie,89,classic characters,classic story,classic films,classic cinema,classic horror,0,0,1,1,1,1,1
786,ozzy osbourne,90,NA,NA,ozzy osbourne,NA,NA,0,0,0,0,1,0,0
804,downs syndrome,91,NA,downs syndrome,NA,NA,down syndrome,0,0,0,1,0,0,1
810,young wife,92,young lover,young friends,young son,unfaithful wife,married couple,0,0,1,1,1,1,1
811,future projects,93,distant future,ambitious project,near future,future generations,future projects,0,0,1,1,1,1,1
833,nostril picker,94,NA,nostril picker,NA,NA,NA,0,0,0,1,0,0,0
843,young girl,95,young girl,young frankenstein,young bride,autistic girl,young kid,0,0,1,1,1,1,1
845,other movies,96,many movies,other disney,different movies,such classics,such movie,2,0.4,1,1,1,1,1
850,young actors,97,young actresses,young actors,black actors,young stars,young filmmakers,0,0,1,1,1,1,1
855,good thing,98,clean fun,decent thing,good reason,good bits,hard thing,0,0,1,1,1,1,1
871,big waste,99,absolute waste,total waste,real waste,terrible waste,complete waste,0,0,1,1,1,1,1
881,only reason,100,only reason,unknown reason,second reason,only thing,only gripe,-1,-0.2,1,1,1,1,1
885,al pacino,101,osama bin,al pacino,NA,weird al,NA,0,0,1,1,0,1,0
890,exotic cars,102,tow truck,exotic locations,exotic cars,NA,expensive cars,0,0,1,1,1,0,1
934,richard dean,103,richard widmark,dean cain,richard dean,richard harris,dean jagger,0,0,1,1,1,1,1
949,late 1970s,104,late 1990s,late 80s,late 1980s,late teens,late 70s,0,0,1,1,1,1,1
978,different way,105,different worlds,different time,unique way,different circumstances,different kind,0,0,1,1,1,1,1
1016,whole thing,106,whole idea,whole group,whole enterprise,whole way,whole mess,0,0,1,1,1,1,1
1033,nick cage,107,matt damon,nick cage,nicolas cage,nick charles,nicholas cage,0,0,1,1,1,1,1
1040,previous comment,108,previous tenant,final comment,previous comment,other comment,previous commentator,0,0,1,1,1,1,1
1052,napoleon dynamite,109,NA,NA,NA,NA,napoleon dynamite,0,0,0,0,0,0,1
1056,good amount,110,good amount,equal measure,fair amount,right amount,amazing amount,0,0,1,1,1,1,1
1067,favorite movie,111,favorite scene,favorite episodes,favorite part,favorite movies,favourite films,0,0,1,1,1,1,1
1070,robert taylor,112,robert mitchum,daniel craig,robert wagner,bob thornton,robert downey,0,0,1,1,1,1,1
1085,cameo role,113,starring role,memorable role,brief role,cameo role,thankless role,0,0,1,1,1,1,1
1104,amanda root,114,NA,amanda peet,NA,NA,amanda root,0,0,0,1,0,0,1
1129,wrong way,115,carlitos way,wrong choice,wrong thing,wrong time,wrong reasons,0,0,1,1,1,1,1
1143,linda hamilton,116,NA,laird hamilton,eddy chandler,linda hamilton,NA,0,0,0,1,1,1,0
1144,giant monster,117,giant monster,giant robot,giant robots,giant ape,giant spider,0,0,1,1,1,1,1
1145,patrick stewart,118,jimmy stewart,NA,patrick wilson,patrick swayze,patrick stewart,0,0,1,0,1,1,1
1158,excellent example,119,excellent support,excellent work,excellent choice,good examples,excellent adventure,3,0.6,1,1,1,1,1
1174,central character,120,central figure,central idea,central characters,central theme,central character,0,0,1,1,1,1,1
1178,missed opportunity,121,NA,wasted opportunity,missed opportunities,missed opportunity,NA,0,0,0,1,1,1,0
1180,simple way,122,simple things,simple rules,effective use,simple life,subtle way,0,0,1,1,1,1,1
1195,sure didnt,123,didnt work,didnt feel,sure didnt,i didnt,didnt pay,0,0,1,1,1,1,1
1201,same tone,124,overall tone,same tone,franchot tone,particular note,serious tone,0,0,1,1,1,1,1
1205,carole lombard,125,NA,NA,NA,carole lombard,NA,0,0,0,0,0,1,0
1228,internal affairs,126,NA,internal affairs,NA,infernal affairs,internal logic,0,0,0,1,0,1,1
1229,many hollywood,127,typical hollywood,many filmmakers,mainstream hollywood,hollywood hotel,many awards,0,0,1,1,1,1,1
1233,last year,128,last quarter,last weekend,new year,last wave,last month,0,0,1,1,1,1,1
1245,same man,129,strong man,last man,fourth man,ordinary man,perfect man,0,0,1,1,1,1,1
1259,young mans,130,white mans,mans life,old mans,dead mans,young mans,0,0,1,1,1,1,1
1266,past years,131,recent past,past year,leap years,previous efforts,past history,0,0,1,1,1,1,1
1287,low rating,132,overall rating,corporate ladder,good rating,low rating,low ratings,0,0,1,1,1,1,1
1298,likable characters,133,funny characters,stereotypical characters,despicable characters,sympathetic character,believable characters,5,1,1,1,1,1,1
1300,lucio fulci,134,NA,lucio fulci,NA,NA,NA,0,0,0,1,0,0,0
1307,own father,135,own daughter,own son,real father,abusive husband,own childhood,0,0,1,1,1,1,1
1336,strong sense,136,strong message,mixed feelings,strong presence,sixth sense,strong word,3,0.6,1,1,1,1,1
1337,myrna loy,137,NA,NA,myrna loy,NA,NA,0,0,0,0,1,0,0
1349,good humor,138,dry wit,good storytelling,good humor,subtle humor,black humor,0,0,1,1,1,1,1
1356,screen time,139,screen play,screen time,blue screen,green screen,screen presence,0,0,1,1,1,1,1
1358,high school,140,elementary school,high fashion,high drama,high tech,high school,0,0,1,1,1,1,1
1379,realistic depiction,141,realistic drama,realistic manner,realistic portrayal,accurate portrayal,realistic view,0,0,1,1,1,1,1
1388,double bill,142,double exposure,buffalo bill,kill bill,triple threat,double bill,0,0,1,1,1,1,1
1400,interesting movie,143,predictable movie,beautiful movie,disturbing movie,interesting movie,memorable movie,0,0,1,1,1,1,1
1403,low quality,144,same quality,low expectations,low key,low self,poor quality,0,0,1,1,1,1,1
