Phrase,Cluster Label
sound effects,533
cheap production,439
good picture,208
young kids,500
amazing cast,390
bad film,393
small screen,139
funny movies,527
hard times,4
same clothes,256
cool character,385
ridiculous film,230
classic characters,89
prominent role,383
amazing movie,230
only actor,0
simon pegg,150
gothic horror,380
same sort,256
same things,256
new twists,170
first week,20
same cast,1
poor adaption,356
long walk,417
huge success,2
golden globes,552
sam peckinpah,3
other cartoons,96
several times,4
melvyn douglas,195
own hands,279
civil rights,575
second feature,405
true emotion,520
worst movies,393
whole concept,106
essential elements,294
big game,288
i cant,43
white female,507
sub par,392
theatrical version,395
main actor,0
loyal fan,209
utterly devoid,5
i assure,212
filmed version,395
single film,434
second season,6
few reviews,183
talented actors,97
lame story,341
young gay,283
old girls,28
whole show,236
onscreen chemistry,515
few lines,7
serial killers,569
lovely film,230
douglas fairbanks,195
good things,98
martial artist,442
main story,349
great concept,355
scary i,24
only one,20
presidential candidate,8
italian cinema,387
top performance,9
first sight,20
first impression,20
male lead,335
good director,10
i doubt,212
new songs,535
extra feature,11
various ways,105
own story,349
wee bit,474
excellent show,236
such movie,96
dark room,38
cinematic equivalent,378
possible i,212
main stream,229
special interest,352
several things,443
certain people,384
white boys,281
dark heart,320
old coot,28
porn star,379
indian chief,400
secret government,562
i plan,212
many respects,299
same actors,12
professional critics,274
red lady,419
high standards,217
old niece,28
real emotion,64
whole life,401
sure people,384
tim roth,13
complete failure,404
wonderful job,259
last twenty,69
late sixties,321
recent times,4
dont think,14
predictable plot,458
serious roles,163
wonderful character,385
serious films,361
ian holm,531
good bit,474
slow motion,178
particular time,61
historical fact,265
dark i,310
sole exception,59
ed wood,231
blatant ripoff,15
private snafu,176
historical figures,265
popcorn movie,379
technical standpoint,353
great literature,339
young lovers,95
great moment,428
only hope,100
major role,383
nice score,524
accurate depiction,141
good script,16
personal issues,73
hot fuzz,307
animated movie,17
stellar performance,485
french movie,18
beautiful film,230
cant get,43
important things,443
other cop,96
subtle humor,138
chick flick,267
innocent people,525
logical explanation,313
same year,128
sam waterston,3
black sunday,88
unknown actor,0
poor dialogue,287
wide shut,477
great things,428
entire life,48
bad side,237
endless series,479
light comedy,372
own thing,279
high ratings,132
real waste,99
bad light,501
advanced screening,435
comedic timing,411
french accent,260
early teens,321
wonderful world,478
boring story,406
japanese directors,199
ulli lommel,19
entire point,351
first one,20
wonderful movie,230
oh please,572
different world,478
few friends,76
high hopes,217
good date,316
few minutes,21
favorite directors,111
romantic movies,268
close ups,65
other reviewers,22
pretty cool,23
real men,64
awful i,24
slow moving,178
own company,279
whole town,510
ray milland,25
american movies,250
male population,507
excellent director,10
detective agency,314
original movies,147
european film,434
redeeming qualities,282
bad dialog,389
psychic powers,374
interesting premise,406
welcome change,26
bleak house,160
anita strindberg,84
great villains,301
only downside,100
high gear,217
certain way,105
hilarious film,527
other ones,443
angie dickinson,32
first paragraph,20
psychological drama,214
elementary school,140
live performances,426
dumb movie,473
ian hunter,531
new meaning,493
doesnt end,414
eddie izzard,210
high noon,140
norman maclean,27
awful awful,24
few hours,76
good look,316
superior films,85
many viewers,148
entire experience,48
vocal performance,485
psychiatric hospital,381
true romance,520
steve martin,489
unique style,286
happy end,424
old girl,28
hollywood hotel,127
own home,279
limited release,511
special day,352
typical tv,471
huge hit,2
first things,20
canadian rockies,45
fantasy world,478
political intrigue,575
wealthy man,220
lame excuse,29
old mansion,33
wish i,212
real acting,254
other countries,87
dorothy stratten,30
different light,105
effective use,122
unexpected twist,170
great twist,428
terrible waste,99
weird science,350
other episode,221
fiona shaw,532
rita hayworth,547
same fate,564
nonstop action,491
boring horror,380
whole damn,106
important events,174
nineteenth century,508
latter stages,244
final word,244
teen comedy,334
fay grim,31
middle child,500
b movie,147
true heart,520
alive i,212
great flick,267
different view,105
little brother,346
devil hunter,168
mild spoilers,169
general i,157
remarkable thing,492
amy adams,32
old time,33
final third,405
costume drama,268
new family,330
complete crap,34
whole host,510
much nothing,35
decent work,259
mr beetle,36
emotional state,311
single thing,37
same room,38
amazing job,259
overall quality,570
mickey rourke,39
golden age,552
smart girls,95
brilliant performances,426
only fault,100
enough i,212
dry wit,138
federal agents,198
nicole kidman,243
good god,98
real problems,64
new place,493
bad writing,158
commercial success,2
japanese monster,199
great friends,428
right material,522
back cover,344
excellent chemistry,515
young bride,95
later films,85
many peoples,384
mere fact,100
dead i,525
such thing,443
last month,128
stereotypical characters,133
naked women,262
regular movie,147
copious amounts,376
albert finney,40
emotional pain,302
straight story,349
beautiful soundtrack,82
steven seagal,343
val kilmer,162
private school,140
seventh season,6
terrible things,24
different ways,105
special edition,352
second viewing,41
little interest,456
new soldiers,63
mary harron,179
favorite show,236
same film,42
first hand,20
white person,281
cant think,43
ingrid pitt,44
negative thing,490
ed woods,231
absolute waste,99
good movies,208
kill bill,142
underground comedy,372
jesus christ,357
early childhood,359
few elements,294
secret service,382
nicolas cage,107
i fall,310
enjoyable characters,133
american way,45
equal measure,110
magical powers,374
own country,279
rachel mcadams,397
psychotic killer,569
guilty pleasures,46
new friend,47
weak i,212
new husband,47
old vhs,544
entire time,48
original cast,1
english dubbing,505
public eye,176
musical number,238
bad theyre,158
first blood,394
decent gore,545
own relationship,401
romantic interest,156
superhero movie,17
american graffiti,45
odd parents,350
thelma ritter,296
previous comments,108
usual i,310
fairy tales,222
good adaptation,208
eddie murphys,210
other couples,336
major league,232
top rate,446
second episode,221
south park,49
interesting aspects,317
lost kingdom,187
common sense,50
snl skit,200
kemble cooper,154
first moment,20
fatal mistake,51
french woman,18
similar themes,303
other members,87
guardian angel,168
wonderful family,330
otto preminger,52
true life,401
lame movie,473
great cameos,301
central performance,120
top billing,9
fellow soldiers,63
old episodes,544
cant stand,43
rollercoaster ride,421
nude scene,53
real friends,64
own films,85
dramatic scenes,484
catholic church,357
jose iturbi,409
many changes,299
fourteen years,69
own words,273
weak story,396
susan sarandon,54
few films,85
single word,37
good writing,16
own son,135
excellent performance,173
prime example,55
i think,212
bad review,183
nice moments,556
live tv,471
local community,233
emotional level,302
contemporary setting,518
darth vader,373
sudden death,363
original characters,467
i kinda,24
swedish movie,56
